page_id,title,gemini_classification,coherence_score,kg_matched_categories,kg_matched_entities,content_excerpt,correct,notes
page_0033,CCG authorisation waves agreed | NHS England,NHS Screening Services,0.7,Event type; Career stage,board; meeting,The NHS Commissioning Board Authority is being asked to approve the timing of the four CCG authorisation waves. A paper going to the 31 May 2012 board meeting outlines how all 212 proposed CCG applicants have now agreed their wave. Applications for CCG authorisation will take place from July to November 2012 and the NHS Commissioning Board is on schedule to have completed the authorisation process by January 2013. The wave process will comprise: 35 proposed CCGs in wave one; 70 in wave two; 67 i,,
page_0036,Board meeting – 31 May 2012 | NHS England,NHS Screening Services,0.72,Career stage; Tags; Event type; National priorities; Region,meeting; public; west; open; board,"We hold our board meetings in public in the interests of openness and transparency in our decision making. The next public board meeting will take place, at the Birmingham University Edgbaston campus, on Thursday 31 st May 2012 from 10.30am to 1.00pm in the: Nicolson Building (next to) Winterbourne House & Botanical Gardens 58 Edgbaston Park Road Birmingham B15 2RT This is location G12 on the downloadable map . The Nicolson building is about 10 minutes by cab from Birmingham New Street train sta",,
page_0039,National Director for Patients and Information appointed | NHS England,NHS Screening Services,0.8,Region; Recruitment format; Tags; Career stage,national; patient; information; na; board,"The NHS Commissioning Board Authority has today completed the recruitment of its national leadership team with the appointment of Tim Kelsey as National Director for Patients and Information. Tim is currently Executive Director of Transparency and Open Data for HM Government where he has been responsible for government policy on transparency and open government. Previously, he was responsible for the design and launch of NHS Choices – the online NHS information service. Chief Executive of the NH",,
page_0042,Landmark moment on the road to authorisation – Barbara Hakin | NHS England,NHS Screening Services,0.7,National priorities; Tags; Clinical discipline; Region,acute care common stem; communities of practice; stem; practice; england,"Last week we reached a real landmark moment in the journey towards developing CCGs and the new clinically-led commissioning system. As you will have heard, we now have proposed CCGs covering the whole of England. That means 212 groups of practices have chosen to come together to shape and commission services to deliver better care, better experience, better outcomes and improved safety for their local populations. We shouldn’t underestimate the hard work that has taken place to get us where we a",,
page_0057,NHS England » Understanding and skills for effective change management using distributed leadership,Workforce transformation,0.809,Publication type; Career stage; Topic; Tags; Event type; National priorities; Region; Profession,leadership; frameworks; first time leader; practitioners; business; leavers; occupational frameworks; senior leader c suite; practice; school,"11 June 2012 - 08:32 These products will be of help to individual leaders, senior teams and extended teams : Leadership Academy Framework for CCG Development – Lot 1 The Framework can be accessed by CCGs to meet the needs of individual organisations to understand all aspects of managing and leading commissioning organisations and delegate management functions accordingly. NHS Institute’s Leading Improvement in Safety and Quality in Primary Care Series of workshops for practice leaders, to develo",,
page_0072,NHS England » Individual senior leadership capacity and capability,Workforce transformation,0.923,Training type; Publication type; Career stage; Recruitment format; Tags; Event type,leadership; school leavers; self; managing; assessments; academy; workshop; na; business; school,11 June 2012 - 08:12 These products will be of help to individual leaders and senior teams : NHS Institute’s Building on your personal strengths A one-day workshop of leadership coaching using the Strength Deployment Inventory to identify and build upon your personal strengths and improve your effectiveness. NHS Institute’s Understanding and using motivation A half-day workshop of leadership coaching using the Strength Deployment Inventory. Understand your personal communication motivational sty,,
page_0117,"Citius, Altius, Fortius – Johnny Marshall | NHS England",Personalised care,0.76,Profession; Tags; Recruitment format; Region,events; na; team; london,"If you have not been bitten by the Olympics bug, and therefore are not waiting in nervous anticipation for the Paralympics to alleviate your withdrawal symptoms, then you might like to look away now…. Throughout London 2012 there have been high quality performances, both on and off the various fields of play, that have taken our breath away. Events that had previously gone unappreciated have burst in to our homes through a plethora of media channels. My unexpected guilty pleasure was the team rh",,
page_0124,Home - NHS Digital,NHS Screening Services,0.72,Profession; Tags; Clinical discipline; National priorities,digital; general practice; nhs digital academy; best practice; surgery; practitioners; practice; advanced practice,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our new way of collecting this data, and what your choices are. 3 billion firewall transactions a day We actively monitor and protect devices across the NHS and work directly with local teams in response",,
page_0132,Home - NHS Digital,NHS Screening Services,0.8,Profession; Tags; Clinical discipline; National priorities,digital; general practice; nhs digital academy; best practice; team; healthcare scientists; health informaticians; practitioners; care; practice,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our new way of collecting this data, and what your choices are. 21m threats blocked a month Our cyber security team monitors and protects devices across the NHS and helps lead the cyber response Cyber and",,
page_0139,Home - NHS Digital,NHS Screening Services,0.767,Profession; Tags; Clinical discipline; National priorities,digital; general practice; nhs digital academy; best practice; team; surgery; practitioners; practice; advanced practice,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our new way of collecting this data, and what your choices are. 21m threats blocked a month Our cyber security team monitors and protects devices across the NHS and helps lead the cyber response Cyber and",,
