page_id,title,triple_count,entity_count,coherence_score,routing,matched_categories
page_0001,NHS England » Social prescribing,4,6,1.0,COHERENT,Tags; Recruitment format; National priorities
page_0002,NHS England » Perinatal mental health,1,2,1.0,COHERENT,National priorities; Recruitment format
page_0004,NHS England » Service specifications,4,5,0.76,COHERENT,National priorities; Tags; Training type; Recruitment format
page_0005,NHS England » 10 Year Workforce Plan call for evidence,5,6,0.7,COHERENT,Publication type; National priorities
page_0011,NHS England » Ed Smith confirmed as Audit Committee Chair of NHS Commissioning Board Authority,3,3,0.6,AMBIGUOUS,National priorities
page_0012,Ciarán Devane confirmed as Non-Executive Director of NHS Commissioning Board Authority | NHS England,3,4,0.7,COHERENT,Career stage; National priorities
page_0013,NHS England » Ciarán Devane confirmed as Non-Executive Director of NHS Commissioning Board Authority,3,3,0.6,AMBIGUOUS,National priorities
page_0014,Board meeting – 2 February 2012 | NHS England,3,3,0.8,COHERENT,Event type; Career stage; National priorities
page_0018,Chief Nursing Officer appointed | NHS England,5,8,0.775,COHERENT,Region; Career stage
page_0019,NHS England » Chief Nursing Officer appointed,3,5,0.76,COHERENT,Region; Career stage
page_0021,Board meeting – 13 April 2012 | NHS England,3,6,0.9,COHERENT,Event type; Tags; Career stage; National priorities
page_0024,NHS England » Authorisation: Final draft guide published and next steps outlined,3,6,0.9,COHERENT,Career stage; Event type; Topic; Tags; Recruitment format
page_0025,"Bulletin for proposed CCGs – Issue 13, 1 May 2012 | NHS England",2,4,0.7,COHERENT,Tags; Topic; Recruitment format
page_0030,Commissioning support services: Outcome of Checkpoint 2 | NHS England,3,6,0.8,COHERENT,Publication type; Tags; Career stage; National priorities
page_0031,Preparation for commissioning picks up pace – Barbara Hakin | NHS England,3,8,0.82,COHERENT,Clinical discipline; Career stage; Tags; Profession; National priorities
page_0032,The Power of Information | NHS England,3,3,0.933,COHERENT,Tags; Topic; National priorities
page_0033,CCG authorisation waves agreed | NHS England,3,4,0.7,COHERENT,Event type; Career stage
page_0034,Great Expectations – Johnny Marshall | NHS England,3,6,0.667,AMBIGUOUS,Tags; Training type; Career stage; National priorities
page_0035,Application waves for CCG authorisation | NHS England,3,5,0.0,CONFLICT,
page_0036,Board meeting – 31 May 2012 | NHS England,3,5,0.72,COHERENT,Region; Career stage; Event type; Tags; National priorities
page_0037,"Bulletin for proposed CCGs – Issue 14, 24 May 2012 | NHS England",3,6,0.6,AMBIGUOUS,News type; National priorities
page_0038,Proposed CCG configuration and member practices published | NHS England,2,4,0.7,COHERENT,Region; Career stage
page_0039,National Director for Patients and Information appointed | NHS England,3,3,0.8,COHERENT,Region; Tags; Career stage; Recruitment format
page_0040,Checkpoint 2 customer survey  | NHS England,2,4,0.407,AMBIGUOUS,Tags; Topic
page_0041,"Commissioning Support Bulletin – Issue 2, 28 May 2012 | NHS England",3,6,0.667,AMBIGUOUS,Tags; News type; Recruitment format
page_0042,Landmark moment on the road to authorisation – Barbara Hakin | NHS England,3,6,0.7,COHERENT,Region; Tags; Clinical discipline; National priorities
page_0043,NHS England » Board meeting – 31 May 2012,3,6,0.964,COHERENT,Event type; Tags; Training qualification; Career stage
page_0044,NHS England » Clinical commissioning groups: proposed configurations agreed,3,5,0.76,COHERENT,Topic; Career stage
page_0045,NHS England » Proposed CCG configuration and member practices published,2,4,0.7,COHERENT,Publication type; Topic; Career stage; National priorities
page_0046,NHS England » CCG authorisation waves agreed,3,5,0.64,AMBIGUOUS,Event type; Career stage
page_0047,NHS England » Checkpoint 2 customer survey,2,4,0.407,AMBIGUOUS,Tags; Topic
page_0048,NHS England » Landmark moment on the road to authorisation – Barbara Hakin,3,6,0.867,COHERENT,Clinical discipline; Region; Topic; Tags; National priorities
page_0049,NHS England » National Director for Patients and Information appointed,2,3,0.8,COHERENT,Region; Tags; Career stage; Recruitment format
page_0050,NHS England » Commissioning support services: Outcome of Checkpoint 2,3,6,0.8,COHERENT,Career stage; National priorities; Publication type; Tags; Recruitment format
page_0051,NHS England » Regional Directors appointed,5,10,0.857,COHERENT,Region; Career stage; Tags; Recruitment format; National priorities
page_0052,NHS England » The Power of Information,3,3,0.933,COHERENT,Tags; Topic; National priorities
page_0054,Authorisation assessors guide published | NHS England,3,5,0.64,AMBIGUOUS,Topic; Career stage
page_0055,"NHS England » Skills and behaviours to engage, motivate and lead others (including across your CCG membership)",3,5,0.88,COHERENT,Career stage; Event type; Tags; Recruitment format; National priorities
page_0058,"NHS England » Skills to create and implement service redesign which incorporate improvements and innovation in access, quality, safety and patient experience across pathways",3,7,0.881,COHERENT,Region; Career stage; Topic; National priorities; Publication type; Tags; Profession; Recruitment format
page_0059,"NHS England » Select and use data about population needs and service utilisation, together with professional knowledge and patient experiences, as the basis for prioritising commissioning plans",3,5,0.956,COHERENT,Clinical discipline; Career stage; Event type; Publication type; Tags; Profession; National priorities
page_0062,NHS England » Skills in securing improved patient experience in all aspects of commissioning,3,5,0.88,COHERENT,Training type; Career stage; Event type; Tags; Profession
page_0065,NHS England » Understanding of integrated governance and awareness of components of good integrated governance responsibilities (individual and corporate),3,6,0.9,COHERENT,Topic; Publication type; Tags; Recruitment format; National priorities
page_0066,"NHS England » Knowledge of the responsibilities around agreeing and implementing their approach to management of risk, research governance, information governance, duty to promote innovation and sustainability",3,6,0.9,COHERENT,Publication type; Tags; Training type; Recruitment format
page_0067,NHS England » Awareness and skills to ensure the financial affairs of the CCG are well managed,3,5,0.76,COHERENT,Clinical discipline; National priorities; Publication type; Tags; Recruitment format
page_0069,"NHS England » Understanding and skill to identify requirements, secure support and monitor performance",3,6,0.9,COHERENT,Clinical discipline; Region; Training type; Career stage; National priorities; Publication type; Tags; Recruitment format
