page_a,page_b,title_a,title_b,mismatch_type,gemini_similarity,kg_similarity,content_excerpt_a,content_excerpt_b,expert_verdict,notes
page_0124,page_0134,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.117,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0121,page_0133,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9585,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0123,page_0137,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.887,0.026,"NHS Digital is the national information and technology partner to the health and care system Search Search Coronavirus (COVID-19) NHS Digital is helping support the front line of the NHS in responding to coronavirus (COVID-19) with systems, services, and data. From triage of patients to protecting t","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0196,page_0203,Annual inclusion report 2019-20 - NHS Digital,Why we report - NHS England Digital,CONFLICT,0.9083,0.05,"Annual inclusion report 2019-20 Current Chapter Annual inclusion report 2019-20 View all Next Chapter Why we report Welcome Welcome to our 2020 inclusion report. We're focused on building a workforce that better represents our customers, health and care staff and the communities we serve, while ensu","Part of Annual inclusion report 2021-22 Why we report Previous Chapter Welcome Current Chapter Current chapter – Why we report View all Next Chapter Our diversity and inclusion journey continues Ambition, obligation, smarter decisions It takes all of us in the organisation to make NHS Digital divers",,
page_0135,page_0141,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9621,0.068,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0130,page_0140,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.095,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0254,page_0257,COVID-19 At Risk Patients - NHS Digital,COVID-19 At Risk Patients - NHS Digital,CONFLICT,1.0,0.124,"COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ","COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ",,
page_0031,page_0037,Preparation for commissioning picks up pace – Barbara Hakin | NHS England,"Bulletin for proposed CCGs – Issue 14, 24 May 2012 | NHS England",CONFLICT,0.8525,0.0,"The pace is picking up now in terms of establishing CCGs, with less than ten months left until the new system goes live in April 2013. Across the country, groups of practices have been coming together and identifying the shape and configuration of their CCG. It is a fantastic achievement that these ",Contents Welcome from Barbara Hakin Proposed CCG configuration and member practices published CCG indicative running cost allowances CCG authorisation waves agreed CCG authorisation: Wave 1 workshops CCG authorisation: Recruitment of assessors Assessment centres and development process underway Comm,,
page_0247,page_0258,COVID-19 at-risk patients Data Provision Notices - NHS Digital,COVID-19 At Risk Patients - NHS Digital,CONFLICT,0.9426,0.156,"COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ","COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the criminal justice estate. Page contents July 2022: Please note that the Notices below are being updated to ",,
page_0025,page_0073,"Bulletin for proposed CCGs – Issue 13, 1 May 2012 | NHS England","Bulletin for proposed CCGs – Issue 15, 14 June 2012 | NHS England",CONFLICT,0.8953,0.0,Contents Welcome from Barbara Hakin Letter to emerging CCG leaders from David Nicholson Authorisation: Final draft guide published and next steps outlined New places available at leadership assessment centre HR guidance for CCGs CCGs and Agenda for Change Financial planning exercise Commissioning su,Contents Welcome from Barbara Hakin New web tool signposts learning and development opportunities Initiative to help CCGs with commissioning support decisions CCG remuneration guidance Running costs allowances update Authorisation ‘surgeries’ for waves two and three Key elements of authorisation pro,,
