page_a,page_b,title_a,title_b,mismatch_type,gemini_similarity,kg_similarity,content_excerpt_a,content_excerpt_b,expert_verdict,notes
page_0429,page_0431,Acute Data Alignment Programme (ADAPt) - NHS Digital,Acute Data Alignment Programme (ADAPt) - NHS Digital,CONFLICT,0.9996,0.48,Acute Data Alignment Programme (ADAPt) The Acute Data Alignment Programme (ADAPt) is a joint programme between NHS Digital and the Private Healthcare Information Network (PHIN) which is looking to adopt common standards for data collections and performance measures across both the NHS and private he,Acute Data Alignment Programme (ADAPt) The Acute Data Alignment Programme (ADAPt) is a joint programme between NHS Digital and the Private Healthcare Information Network (PHIN) which is looking to adopt common standards for data collections and performance measures across both the NHS and private he,,
page_0138,page_0142,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.479,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0141,page_0142,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.469,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0130,page_0138,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.461,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0407,page_0411,"NHS England » 3. Deliver more elective care to tackle the elective backlog, reduce long waits and improve performance against cancer waiting times standards","NHS England » 3. Deliver more elective care to tackle the elective backlog, reduce long waits and improve performance against cancer waiting times standards",CONFLICT,1.0,0.46,Elective care As a direct consequence of the pandemic many patients are waiting longer for the treatments they need. We are committed to delivering more planned hospital activity and improving performance for the longest waiting patients across elective care and cancer in line with the Delivery plan,Elective care As a direct consequence of the pandemic many patients are waiting longer for the treatments they need. We are committed to delivering more planned hospital activity and improving performance for the longest waiting patients across elective care and cancer in line with the Delivery plan,,
page_0129,page_0135,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.45,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0133,page_0136,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.45,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0129,page_0131,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9903,0.45,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0125,page_0129,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.45,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0121,page_0129,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9585,0.45,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0130,page_0141,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.449,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
