page_id,title,gemini_category,coherence_score,verdict,reason,elapsed_s
page_0011,NHS England » Ed Smith confirmed as Audit Committee Chair of NHS Commissioning Board Authority,NHS Screening Services,0.6,DISAGREE,,71.6
page_0013,NHS England » Ciarán Devane confirmed as Non-Executive Director of NHS Commissioning Board Authority,NHS Screening Services,0.6,DISAGREE,The content focuses on Ciarán Devane's appointment to improve patient care and develop commissioning systems rather than screening services specifically.,69.8
page_0034,Great Expectations – Johnny Marshall | NHS England,Workforce transformation,0.667,DISAGREE,The narrative focuses more on personal reflections and experiences rather than discussing workforce transformation within NHS England.,74.6
page_0037,"Bulletin for proposed CCGs – Issue 14, 24 May 2012 | NHS England",NHS Screening Services,0.6,DISAGREE,,70.4
page_0040,Checkpoint 2 customer survey  | NHS England,NHS Screening Services,0.407,DISAGREE,The content discusses customer surveys and commissioning support services for CCGs rather than screening services within NHS England.,72.6
page_0041,"Commissioning Support Bulletin – Issue 2, 28 May 2012 | NHS England",NHS Screening Services,0.667,DISAGREE,"The content discusses NHS Commissioning Support Bulletins and recruitment for CSSs (Commissioning Support Services), not specifically about screening services within the NHS.",76.7
page_0046,NHS England » CCG authorisation waves agreed,NHS Screening Services,0.64,DISAGREE,"The content discusses Clinical Commissioning Groups (CCGs) and their authorisation waves within NHS England, not screening services.",74.2
page_0054,Authorisation assessors guide published | NHS England,NHS Screening Services,0.64,DISAGREE,The content focuses on Clinical Commissioning Group authorisation and not specifically NHS Screening Services.,61.5
page_0076,Who’s inside the tent? – Johnny Marshall | NHS England,Workforce transformation,0.52,DISAGREE,The page content discusses public health professionals and engagement within NHS England but does not specifically address workforce transformation issues.,70.4
page_0080,Full set of first wave authorisation applications received on time  | NHS England,NHS Screening Services,0.6,DISAGREE,The content discusses CCG authorisation processes and does not pertain to NHS Screening Services specifically.,69.9
page_0082,"Bulletin for proposed CCGs – Issue 16, 4 July 2012 | NHS England",NHS Screening Services,0.55,DISAGREE,,66.5
page_0088,Board Authority appoints first CSS managing directors and announces decision to host | NHS England,NHS Screening Services,0.52,DISAGREE,,73.4
page_0091,Moving on at pace – Barbara Hakin | NHS England,NHS Screening Services,0.592,DISAGREE,"The content discusses NHS commissioning services and recruitment for managers, which does not align with screening services typically associated with the ""NHS Screening Services"" category.",73.2
page_0102,NHS England » Full set of first wave authorisation applications received on time,NHS Screening Services,0.55,DISAGREE,,64.5
page_0111,Insights from scenario workshop published | NHS England,Personalised care,0.6,DISAGREE,The content focuses more on CCG and CSS relationships rather than personalized care specifically.,65.4
page_0116,"Bulletin for proposed CCGs – Issue 19, 24 August 2012 | NHS England",NHS Screening Services,0.65,DISAGREE,The content discusses clinical commissioning groups and authorisation processes within NHS England but does not specifically mention screening services.,69.0
page_0118,Introducing the NHS.UK Alpha | NHS.UK Alpha,Personalised care,0.6,DISAGREE,The content focuses more on digital innovation and service improvement rather than personalized care specifically.,65.7
page_0153,Emma Summers - NHS Digital,Digital skills,0.64,DISAGREE,,62.3
page_0157,Sally Bogg - NHS Digital,Digital skills,0.6,UNCERTAIN,,67.5
page_0170,Trainee stories - NHS Digital,Digital skills,0.64,UNCERTAIN,,70.8
page_0206,A look at the diversity of our workforce today - NHS Digital,Workforce transformation,0.64,UNCERTAIN,,77.8
page_0286,Health Education England’s inaugural Board meeting | Health Education England,Health academia,0.64,AGREE,,80.5
page_0287,Ian Cumming confirmed as Chief Executive of Health Education England | Health Education England,Health academia,0.55,UNCERTAIN,,64.0
page_0288,HEE appoints its senior management team | Health Education England,Health academia,0.55,UNCERTAIN,,60.2
page_0293,Our Strategic Intent | Health Education England,Health academia,0.64,DISAGREE,The content focuses more on workforce planning and healthcare improvement rather than academic pursuits in health education.,62.2
page_0299,Health Education England » Shadowing for Foundation Year 1 (F1) Doctors,Health academia,0.6,UNCERTAIN,,68.0
page_0307,Health Education England » Celebrating our people – 65 years of NHS workforce development,NHS Screening Services,0.64,DISAGREE,The page content focuses on celebrating NHS workforce development and does not specifically relate to screening services.,70.3
page_0310,Health Education England » HEE responds to the Don Berwick report,Health academia,0.6,DISAGREE,The page content focuses more on workforce development and values alignment within NHS training rather than general health academia topics.,64.2
page_0324,Health Education England » HEE supports fourteen areas leading the way in delivering better joined up care.,Personalised care,0.625,UNCERTAIN,,62.9
page_0334,Health Education England » New values mapping tool launched,Workforce transformation,0.55,DISAGREE,The page content focuses more on values and recruitment rather than workforce transformation as per its title.,64.2
page_0335,Health Education England » Government and NHS discuss expansion of healthcare army reservists,NHS Screening Services,0.64,DISAGREE,,72.6
page_0340,NHS England » NHS Commissioning Board Special Health Authority announces designate executive directors at first meeting,NHS Screening Services,0.64,DISAGREE,,62.6
page_0356,Secretary of State’s second accountability meeting with the Commissioning Board Authority | NHS England,NHS Screening Services,0.64,DISAGREE,The content discusses accountability meetings and transparency in government relations to NHS but does not specifically mention screening services.,56.9
page_0359,NHS England » Briefing note on CCG indicative running cost allowances,NHS Screening Services,0.6,DISAGREE,The content is about Clinical Commissioning Group (CCG) indicative running costs allowances for NHS England and not specifically related to screening services.,61.1
page_0371,New director appointments to the NHS Commissioning Board | NHS England,NHS Screening Services,0.6,DISAGREE,The content discusses NHS Commissioning Board appointments and does not pertain to screening services specifically.,53.9
page_0385,NHS England » Babies to get new test for eye cancer in the womb to save their sight,NHS Screening Services,0.5,DISAGREE,The content focuses more on genetic testing and treatment for retinoblastoma rather than general screening services offered by NHS Screening Services.,71.0
page_0400,NHS England » Our 2022/23 business plan,NHS Screening Services,0.55,DISAGREE,The content focuses primarily on strategic goals and improvements across various aspects of healthcare services rather than specifically screening services.,56.5
page_0409,"NHS England » 3. Deliver more elective care to tackle the elective backlog, reduce long waits and improve performance against cancer waiting times standards",NHS Screening Services,0.6,DISAGREE,The content focuses on elective care and reducing waiting times for treatments rather than screening services.,60.3
page_0413,NHS England » 4. Improve the responsiveness of urgent and emergency care and increase its capacity,Personalised care,0.55,DISAGREE,The content focuses more on systemic improvements and capacity planning rather than personalized care approaches.,60.6
page_0416,NHS England » 4. Improve the responsiveness of urgent and emergency care and increase its capacity,Personalised care,0.6,DISAGREE,The content focuses more on systemic improvements and capacity planning rather than individualized patient care approaches typically associated with personalised care.,27.8
page_0480,Full QOF manual entry guide In the event the automated extract fails - NHS Digital,Medicines optimisation,0.5,UNCERTAIN,,67.2
page_0493,Domain 1 - Preventing people from dying prematurely - NHS Digital,Personalised care,0.6,DISAGREE,The page content focuses primarily on hospital mortality rates and does not specifically address personalized care aspects of patient treatment within hospitals.,67.1
